"","...1","gene_name","LipidProbe","logFC","pvalue","hit_annotation"
"198",395,"CACYBP","PA",-0.8579596,0.0393082,"no hit"
"199",397,"TFG","PA",-1.1244618,0.0396581,"no hit"
"200",399,"BTF3","PA",-1.2375595,0.0404243,"no hit"
"201",401,"ZNF598","PA",-0.7775675,0.041073,"no hit"
"202",403,"S100A6","PA",-1.3047142,0.0411125,"no hit"
"203",405,"S100A11","PA",-1.3524704,0.0412764,"no hit"
"204",407,"TALDO1","PA",-1.3120526,0.0413439,"no hit"
"205",409,"NPEPPS","PA",-0.6058937,0.0414172,"no hit"
"206",411,"GNAI3","PA",0.8393447,0.0415973,"enriched candidate"
"207",413,"FKBP4","PA",-0.6903636,0.0416527,"no hit"
"208",415,"PTGR1","PA",-0.7531171,0.0417106,"no hit"
"209",417,"SERBP1","PA",-1.807928,0.042747,"no hit"
"210",419,"CSE1L","PA",-0.8647388,0.0431564,"no hit"
"211",421,"MIF","PA",-1.04417,0.0435434,"no hit"
"212",423,"ECH1","PA",1.0900183,0.0437041,"enriched candidate"
"213",425,"B4GALT1","PA",-0.7047253,0.0438584,"no hit"
"214",427,"ANXA1","PA",-0.5224248,0.0441086,"no hit"
"215",429,"CTTN","PA",0.9015442,0.0445032,"enriched candidate"
"216",431,"PTGFRN","PA",0.7274874,0.0448288,"enriched candidate"
"217",433,"IQGAP1","PA",1.3980589,0.0448654,"enriched candidate"
"218",435,"TXNDC5","PA",0.6153251,0.044958,"enriched candidate"
"219",437,"MDH2","PA",0.8705424,0.0449768,"enriched candidate"
"220",439,"UQCRC1","PA",0.7136781,0.0451219,"enriched candidate"
"221",441,"MYL6","PA",0.5961698,0.0457694,"enriched candidate"
"222",443,"PUF60","PA",-0.4712617,0.0460849,"no hit"
"223",445,"RDX","PA",1.3039637,0.0461561,"enriched candidate"
"224",447,"GNG12","PA",0.5021224,0.0462213,"no hit"
"225",449,"ATP5A1","PA",0.8481773,0.0485491,"no hit"
"226",451,"RAP1A","PA",0.5320556,0.0490914,"no hit"
"227",453,"AGL","PA",-1.0040286,0.0494766,"no hit"
"228",455,"SKP1","PA",-0.7393452,0.049882,"no hit"
"229",457,"GLOD4","PA",-0.8477743,0.0500377,"no hit"
"230",459,"TXNRD1","PA",-0.6101066,0.0505713,"no hit"
"231",461,"RPN2","PA",0.7968537,0.0507365,"no hit"
"232",463,"PPP1CA","PA",0.4903157,0.0512769,"no hit"
"233",465,"HSPH1","PA",-0.5318265,0.053184,"no hit"
"234",467,"SLC25A24","PA",0.9698108,0.053595,"no hit"
"235",469,"KPNB1","PA",-0.6698115,0.053899,"no hit"
"236",471,"TM9SF2","PA",-0.9274344,0.0541365,"no hit"
"237",473,"HSPA4","PA",-0.7347511,0.0542675,"no hit"
"238",475,"ITGA6","PA",0.616065,0.0546545,"no hit"
"239",477,"DHCR7","PA",0.8628836,0.0555554,"no hit"
"240",479,"BPNT1","PA",-0.5667511,0.0562577,"no hit"
"241",481,"YWHAH","PA",-0.7761973,0.0565507,"no hit"
"242",483,"NMT1","PA",-1.162087,0.0570214,"no hit"
"243",485,"RP2","PA",0.6859755,0.0590441,"no hit"
"244",487,"CIB1","PA",0.4424269,0.0602315,"no hit"
"245",489,"TRIM28","PA",0.6867347,0.0605151,"no hit"
"246",491,"MSLN","PA",0.5925356,0.0607018,"no hit"
"247",493,"NECTIN2","PA",0.4771873,0.0613481,"no hit"
"248",495,"AKR1B1","PA",-0.7648907,0.0617305,"no hit"
"249",497,"SLC25A3","PA",0.8302348,0.0623183,"no hit"
"250",499,"ADAM10","PA",0.4694021,0.0627386,"no hit"
"251",501,"TPD52L2","PA",-0.7235519,0.0629491,"no hit"
"252",503,"GTF2I","PA",0.7782688,0.0631256,"no hit"
"253",505,"PPIF","PA",0.9239184,0.0645972,"no hit"
"254",507,"HMOX2","PA",0.482978,0.0668045,"no hit"
"255",509,"GOLT1B","PA",-0.5355459,0.0676244,"no hit"
"256",511,"PARK7","PA",-0.7473461,0.0691631,"no hit"
