"","...1","gene_name","LipidProbe","logFC","pvalue","hit_annotation"
"234",468,"SLC25A24","PE",1.1350588,0.0264327,"enriched candidate"
"235",470,"KPNB1","PE",-0.6399123,0.064389,"no hit"
"236",472,"TM9SF2","PE",-1.0517459,0.0312049,"no hit"
"237",474,"HSPA4","PE",-0.4536348,0.2200571,"no hit"
"238",476,"ITGA6","PE",0.5598786,0.0781872,"no hit"
"239",478,"DHCR7","PE",1.1478017,0.0139149,"enriched candidate"
"240",480,"BPNT1","PE",-0.5567825,0.0603012,"no hit"
"241",482,"YWHAH","PE",-1.1368576,0.0079065,"no hit"
"242",484,"NMT1","PE",-1.7092048,0.0077993,"no hit"
"243",486,"RP2","PE",0.4805714,0.1751859,"no hit"
"244",488,"CIB1","PE",0.076756,0.732177,"no hit"
"245",490,"TRIM28","PE",0.7648885,0.0386461,"enriched candidate"
"246",492,"MSLN","PE",0.415097,0.1781403,"no hit"
"247",494,"NECTIN2","PE",0.2047078,0.4035085,"no hit"
"248",496,"AKR1B1","PE",-0.9349887,0.02546,"no hit"
"249",498,"SLC25A3","PE",1.5530089,0.0015558,"enriched hit"
"250",500,"ADAM10","PE",0.7025148,0.0081764,"enriched candidate"
"251",502,"TPD52L2","PE",-1.0737492,0.008683,"no hit"
"252",504,"GTF2I","PE",1.0808547,0.0131048,"enriched candidate"
"253",506,"PPIF","PE",1.6091492,0.0029664,"enriched hit"
"254",508,"HMOX2","PE",0.5548688,0.0378085,"no hit"
"255",510,"GOLT1B","PE",-0.5745379,0.0514464,"no hit"
"256",512,"PARK7","PE",-0.8083441,0.0510112,"no hit"
"257",514,"ACO2","PE",1.0844205,0.0058022,"enriched hit"
"258",516,"YWHAG","PE",-0.8470333,0.002427,"no hit"
"259",518,"ETFA","PE",1.173119,0.0094913,"enriched candidate"
"260",520,"WDR1","PE",1.1555536,0.0626577,"enriched candidate"
"261",522,"SHMT2","PE",1.8917486,0.0042664,"enriched hit"
"262",524,"GNG5","PE",0.3309812,0.252744,"no hit"
"263",526,"AP1B1","PE",-0.8364574,0.0031716,"no hit"
"264",528,"RAB31","PE",0.6653932,0.0157856,"enriched candidate"
"265",530,"RBBP4","PE",0.2505057,0.3913247,"no hit"
"266",532,"ATP1A1","PE",0.8566751,0.0103066,"enriched candidate"
"267",534,"SDHA","PE",1.6885254,0.002367,"enriched hit"
"268",536,"POR","PE",1.2822349,0.0020604,"enriched hit"
"269",538,"EIF5A","PE",-1.6858074,0.0318463,"no hit"
"270",540,"LIFR","PE",0.4255133,0.1016881,"no hit"
"271",542,"MME","PE",-0.9887385,0.0012362,"no hit"
"272",544,"ITGA5","PE",0.6910638,0.0766832,"enriched candidate"
"273",546,"SFXN1","PE",1.3278179,0.0085487,"enriched hit"
"274",548,"PPA1","PE",-1.0180095,0.0488178,"no hit"
"275",550,"RAP2C","PE",0.4555885,0.0479289,"no hit"
"276",552,"GLO1","PE",-1.2287457,0.0266674,"no hit"
"277",554,"PA2G4","PE",-1.358083,0.0257705,"no hit"
"278",556,"DSG2","PE",0.5182017,0.0767096,"no hit"
"279",558,"LAMC1","PE",0.2155576,0.4493452,"no hit"
"280",560,"GSTM3","PE",-0.4917216,0.2127673,"no hit"
"281",562,"GOT2","PE",1.514231,0.0040398,"enriched hit"
"282",564,"SLC43A3","PE",0.0663466,0.8267207,"no hit"
"283",566,"OXCT1","PE",1.3439306,0.0014839,"enriched hit"
"284",568,"CS","PE",2.2800407,0.0079509,"enriched hit"
"285",570,"PRDX1","PE",-1.0643709,0.0370733,"no hit"
"286",572,"USP14","PE",-0.7050309,0.0468237,"no hit"
"287",574,"RMDN1","PE",1.2567316,0.0049203,"enriched hit"
"288",576,"PGK1","PE",-0.8622865,0.0470823,"no hit"
"289",578,"BUB3","PE",-0.3829254,0.1205178,"no hit"
"290",580,"HSP90B1","PE",1.3699159,0.0111871,"enriched candidate"
"291",582,"UBXN4","PE",0.6651792,0.0323534,"enriched candidate"
"292",584,"CAPZA1","PE",-0.3641191,0.2573339,"no hit"
"293",586,"ACSL3","PE",1.4123138,0.0329646,"enriched candidate"
"294",588,"SLC44A2","PE",0.7306552,0.1217162,"no hit"
"295",590,"PEBP1","PE",-1.3508123,0.0317146,"no hit"
"296",592,"TRMT10C","PE",1.3265029,0.0072551,"enriched hit"
"297",594,"NEGR1","PE",0.2330619,0.3084358,"no hit"
"298",596,"MLEC","PE",0.9309872,0.0087084,"enriched candidate"
"299",598,"QARS","PE",0.2932767,0.2099295,"no hit"
"300",600,"ENO1","PE",-0.5858189,0.1361995,"no hit"
"301",602,"GDA","PE",-0.6086386,0.1184982,"no hit"
"302",604,"RPS28","PE",-0.9282649,0.0181941,"no hit"
"303",606,"ARFGAP1","PE",-0.9075345,0.01144,"no hit"
"304",608,"ECI1","PE",1.149963,0.0238445,"enriched candidate"
"305",610,"DAG1","PE",0.4841418,0.2015386,"no hit"
"306",612,"F11R","PE",0.5786599,0.1531764,"no hit"
"307",614,"TUFM","PE",1.7057189,0.0211509,"enriched candidate"
"308",616,"HSPA1B|HSPA1A","PE",-0.1209898,0.6391645,"no hit"
"309",618,"MAT2A","PE",-0.728659,0.0681141,"no hit"
"310",620,"SLC1A5","PE",0.179562,0.4594581,"no hit"
"311",622,"ALDH3A2","PE",1.1699565,0.0132371,"enriched candidate"
"312",624,"PRDX3","PE",1.5097689,0.0376813,"enriched candidate"
"313",626,"CLINT1","PE",-1.6696676,0.0173164,"no hit"
"314",628,"CAPN2","PE",-0.3366213,0.2381256,"no hit"
"315",630,"CD59","PE",0.5149523,0.1265537,"no hit"
"316",632,"ATL2","PE",0.7326634,0.0354658,"enriched candidate"
"317",634,"EIF3M","PE",-0.7569095,0.0475652,"no hit"
"318",636,"MYDGF","PE",0.4473981,0.2588817,"no hit"
"319",638,"CAPRIN1","PE",-1.8752007,0.0118013,"no hit"
"320",640,"DLD","PE",1.4164378,0.0247059,"enriched candidate"
"321",642,"RAN","PE",-0.1126817,0.6355767,"no hit"
"322",644,"GIGYF2","PE",-1.3041414,0.0217537,"no hit"
"323",646,"DSP","PE",-0.8915726,0.0503811,"no hit"
"324",648,"LSS","PE",0.4395606,0.0630021,"no hit"
"325",650,"CDH10","PE",0.4905615,0.1420662,"no hit"
"326",652,"SLC38A5","PE",0.3688671,0.3091078,"no hit"
"327",654,"USP10","PE",-1.2279646,0.0159862,"no hit"
"328",656,"MCAM","PE",0.8024138,0.0946603,"no hit"
"329",658,"MSN","PE",1.3495103,0.1558913,"no hit"
"330",660,"TLN1","PE",0.5474012,0.0887615,"no hit"
"331",662,"ALG5","PE",1.0268735,0.0241057,"enriched candidate"
"332",664,"SUPT16H","PE",0.2253326,0.3171152,"no hit"
"333",666,"CCT8","PE",0.1856713,0.5633561,"no hit"
"334",668,"MMP15","PE",0.2804082,0.2807919,"no hit"
"335",670,"ADAM9","PE",0.5977875,0.0528125,"enriched candidate"
"336",672,"TAPBP","PE",1.0205991,0.0063619,"enriched hit"
"337",674,"BZW2","PE",-0.3594154,0.3150239,"no hit"
"338",676,"DDOST","PE",0.8253849,0.0351435,"enriched candidate"
"339",678,"EPB41L2","PE",0.9189382,0.1361664,"no hit"
"340",680,"SUCLG2","PE",1.2854421,0.0245393,"enriched candidate"
"341",682,"LRPPRC","PE",1.4431776,0.0162604,"enriched candidate"
"342",684,"G3BP2","PE",-1.7375196,0.0447151,"no hit"
"343",686,"RPN1","PE",1.2928639,0.0335417,"enriched candidate"
"344",688,"RAB8A","PE",0.3123164,0.1861486,"no hit"
"345",690,"C17orf75","PE",-0.4159497,0.1015336,"no hit"
"346",692,"HNRNPA2B1","PE",-0.4120945,0.2188629,"no hit"
"347",694,"CAPZB","PE",-0.2896496,0.3155881,"no hit"
"348",696,"HSD17B10","PE",0.9512938,0.0297473,"enriched candidate"
"349",698,"FLOT2","PE",0.7804755,0.0992654,"no hit"
"350",700,"VDAC2","PE",0.7611357,0.0897448,"no hit"
"351",702,"SLIRP","PE",1.490946,0.0085609,"enriched hit"
"352",704,"ANXA3","PE",-0.833847,0.0447137,"no hit"
"353",706,"STT3A","PE",1.0951797,0.0080497,"enriched hit"
"354",708,"COX5A","PE",1.0359832,0.027985,"enriched candidate"
"355",710,"CD320","PE",0.5271437,0.0218707,"no hit"
