"","gene_name","LipidProbe","logFC","pvalue","hit_annotation"
"222","LTA4H","PE",-0.8715713,0.0371187,"no hit"
"223","HARS","PA",-0.8074889,0.0137303,"no hit"
"224","HARS","PE",-1.033696,0.0025679,"no hit"
"225","CAND1","PA",-0.9088526,0.0137839,"no hit"
"226","CAND1","PE",-0.3867741,0.2612188,"no hit"
"227","FDPS","PA",-1.0565812,0.0138986,"no hit"
"228","FDPS","PE",-1.1397483,0.0087567,"no hit"
"229","GSTK1","PA",0.9017188,0.0139953,"enriched candidate"
"230","GSTK1","PE",1.3693811,0.0006165,"enriched hit"
"231","ETFB","PA",1.0624366,0.0140953,"enriched candidate"
"232","ETFB","PE",1.8921709,0.0001281,"enriched hit"
"233","LY6K","PA",0.8385584,0.0142151,"enriched candidate"
"234","LY6K","PE",1.2372256,0.0008218,"enriched hit"
"235","NOMO1|NOMO3|NOMO2","PA",0.9539389,0.0146567,"enriched candidate"
"236","NOMO1|NOMO3|NOMO2","PE",1.3588072,0.001173,"enriched hit"
"237","BASP1","PA",1.9995488,0.0148356,"enriched candidate"
"238","BASP1","PE",2.4353819,0.004132,"enriched hit"
"239","PRKCSH","PA",0.6993345,0.0151703,"enriched candidate"
"240","PRKCSH","PE",0.2732514,0.3087731,"no hit"
"241","GANAB","PA",0.7327816,0.0155799,"enriched candidate"
"242","GANAB","PE",0.9974384,0.0018765,"enriched candidate"
"243","COX4I1","PA",0.9876078,0.0165074,"enriched candidate"
"244","COX4I1","PE",1.3284838,0.0022412,"enriched hit"
"245","EIF4B","PA",-1.6765027,0.0166077,"no hit"
"246","EIF4B","PE",-2.0360043,0.0048674,"no hit"
"247","PLS3","PA",0.692714,0.016647,"enriched candidate"
"248","PLS3","PE",0.6701795,0.0199473,"enriched candidate"
"249","HSPA9","PA",1.2165599,0.0169997,"enriched candidate"
"250","HSPA9","PE",1.9695718,0.0004665,"enriched hit"
"251","CD44","PA",0.7504626,0.0172474,"enriched candidate"
"252","CD44","PE",0.7995567,0.0119663,"enriched candidate"
"253","SLC25A5","PA",1.0757471,0.0178012,"enriched candidate"
"254","SLC25A5","PE",1.9265948,0.0001863,"enriched hit"
"255","LDHA","PA",-1.0940288,0.0179713,"no hit"
"256","LDHA","PE",-1.1451179,0.013886,"no hit"
"257","CYP51A1","PA",0.6923136,0.0183088,"enriched candidate"
"258","CYP51A1","PE",1.037972,0.0010615,"enriched hit"
"259","BST2","PA",-0.5837096,0.0183943,"no hit"
"260","BST2","PE",-0.8496488,0.0013782,"no hit"
"261","SERPINB5","PA",-1.2072295,0.0187761,"no hit"
"262","SERPINB5","PE",-1.3448798,0.010015,"no hit"
