gene_name,protein_id,LipidProbe,hit_annotation,logFC,pvalue,AveExpr,fdr
BASP1,P80723,1-10 FA,no hit,0.376160822,0.06314609,23.40128453,0.136313452
PTMA,B8ZZQ6|P06454|P06454-2,1-10 FA,no hit,-0.741537137,0.063675457,24.52954414,0.137193876
FARSB,Q9NSD9|Q9NSD9-2,1-10 FA,no hit,-0.436642095,0.063830983,23.21685413,0.137267009
HSPB1,P04792,1-10 FA,no hit,-0.599708658,0.064176895,25.3823371,0.137547269
EIF6,P56537,1-10 FA,no hit,-0.312087859,0.064204969,23.88413592,0.137547269
DDX27,B7Z6D5|Q96GQ7,1-10 FA,no hit,0.272962336,0.064638511,22.17471652,0.138213786
PFN2,C9J0J7|G5E9Q6|P35080-2,1-10 FA,no hit,-0.406076969,0.065407412,23.33224068,0.139593513
S100A10,P60903,1-10 FA,no hit,0.303212443,0.066068398,22.84069786,0.140738153
F8W031,F8W031,1-10 FA,no hit,0.409399032,0.067689346,23.5801157,0.143919532
ANXA5,P08758,1-10 FA,no hit,-1.269327347,0.067856589,25.35797393,0.144003928
ERP44,Q9BS26,1-10 FA,no hit,0.43016686,0.06842589,26.29033858,0.144789712
SEC24C,G5EA31|P53992,1-10 FA,no hit,-0.222998937,0.068483354,22.96899715,0.144789712
RPL5,P46777,1-10 FA,no hit,-0.352067073,0.068621836,24.26626357,0.144811314
TALDO1,P37837,1-10 FA,no hit,-0.679940184,0.069059694,25.25832837,0.145463423
EIF5B,A0A087WUT6|O60841,1-10 FA,no hit,-0.261426428,0.069851684,23.74261487,0.146841838
THOP1,P52888,1-10 FA,no hit,-0.498367021,0.069974233,25.13636765,0.146841838
PSMB7,Q99436,1-10 FA,no hit,-0.416056146,0.070825936,24.12906394,0.148344598
PPP2R1A,P30153,1-10 FA,no hit,-0.233526722,0.070953129,25.98107385,0.148344598
DIEXF,Q68CQ4,1-10 FA,no hit,0.251280772,0.071232759,23.13762925,0.148653946
MRPL20,Q9BYC9,1-10 FA,no hit,0.272230346,0.071452753,22.87979805,0.148821312
CTPS1,P17812,1-10 FA,no hit,-0.444117607,0.071576592,24.62475846,0.148821312
IMPDH2,H0Y4R1|P12268,1-10 FA,no hit,-0.437487955,0.072242503,25.03159468,0.149929754
CANX,P27824|P27824-2,1-10 FA,no hit,0.342902134,0.072467767,25.72225646,0.150121301
THOC2,Q8NI27,1-10 FA,no hit,0.344169865,0.072813285,23.42423519,0.150560803
EIF3B,P55884|P55884-2,1-10 FA,no hit,-0.25075037,0.073344706,25.69263316,0.15133803
ACTR1A,P61163,1-10 FA,no hit,-0.292681777,0.073457255,23.45690699,0.15133803
GOT2,P00505,1-10 FA,no hit,0.218713032,0.073681357,26.238535,0.151523227
AK2,F8VY04|F8W1A4|P54819|P54819-2|P54819-3|P54819-5,1-10 FA,no hit,0.270823784,0.073929108,24.55994572,0.151756297
RMDN1,H0YBD9|H0YC27|H0YC67|Q96DB5|Q96DB5-2,1-10 FA,no hit,0.201035268,0.074511914,24.04155771,0.152432765
NAGLU,P54802,1-10 FA,no hit,0.285299022,0.074528686,23.45934918,0.152432765
WDR3,Q9UNX4,1-10 FA,no hit,0.314801522,0.075050991,23.1125295,0.153223452
RPLP2,P05387,1-10 FA,no hit,-0.695762445,0.075823513,24.14746243,0.154521203
A2M,P01023,1-10 FA,enriched candidate,0.675634117,0.076456235,24.23489362,0.155529891
DHX9,Q08211,1-10 FA,no hit,0.390776828,0.076728104,26.99810337,0.155802211
SPTBN1,A0A087WUZ3|Q01082|Q01082-2|Q01082-3,1-10 FA,no hit,0.214962505,0.077465194,27.01489298,0.156902971
TFRC,G3V0E5|P02786,1-10 FA,no hit,0.306709333,0.077562029,24.04391755,0.156902971
ENO3,P13929|P13929-2,1-10 FA,no hit,-0.470702054,0.077687122,23.29800858,0.156902971
GFAP,P14136|P14136-2|P14136-3,1-10 FA,no hit,0.287615388,0.078884536,25.341514,0.159036859
SNRNP200,O75643,1-10 FA,no hit,0.243353246,0.079311109,26.59472207,0.159611839
FDPS,A0A087WVN4|P14324|P14324-2,1-10 FA,no hit,-0.285676563,0.079513155,23.99364811,0.159733722
GLOD4,F6TLX2|Q9HC38-2,1-10 FA,no hit,-0.526260764,0.080200345,24.0816712,0.160828044
CSE1L,P55060|P55060-3|P55060-4,1-10 FA,no hit,-0.536492303,0.080845694,26.33966895,0.161704185
TGM3,Q08188,1-10 FA,enriched candidate,0.659608275,0.080923706,22.54538211,0.161704185
PRMT5,O14744|O14744-2|O14744-3|O14744-5,1-10 FA,no hit,-0.26333273,0.081185648,24.5643371,0.161815454
