"","LipidProbe","gene_name","hit_annotation","logFC","pvalue","fdr"
"201","PA","ZNF598","no hit",-0.7775675,0.041073,"Data not available"
"202","PA","S100A6","no hit",-1.3047142,0.0411125,"Data not available"
"203","PA","S100A11","no hit",-1.3524704,0.0412764,"Data not available"
"204","PA","TALDO1","no hit",-1.3120526,0.0413439,"Data not available"
"205","PA","NPEPPS","no hit",-0.6058937,0.0414172,"Data not available"
"206","PA","GNAI3","enriched candidate",0.8393447,0.0415973,"Data not available"
"207","PA","FKBP4","no hit",-0.6903636,0.0416527,"Data not available"
"208","PA","PTGR1","no hit",-0.7531171,0.0417106,"Data not available"
"209","PA","SERBP1","no hit",-1.807928,0.042747,"Data not available"
"210","PA","CSE1L","no hit",-0.8647388,0.0431564,"Data not available"
"211","PA","MIF","no hit",-1.04417,0.0435434,"Data not available"
"212","PA","ECH1","enriched candidate",1.0900183,0.0437041,"Data not available"
"213","PA","B4GALT1","no hit",-0.7047253,0.0438584,"Data not available"
"214","PA","ANXA1","no hit",-0.5224248,0.0441086,"Data not available"
"215","PA","CTTN","enriched candidate",0.9015442,0.0445032,"Data not available"
"216","PA","PTGFRN","enriched candidate",0.7274874,0.0448288,"Data not available"
"217","PA","IQGAP1","enriched candidate",1.3980589,0.0448654,"Data not available"
"218","PA","TXNDC5","enriched candidate",0.6153251,0.044958,"Data not available"
"219","PA","MDH2","enriched candidate",0.8705424,0.0449768,"Data not available"
"220","PA","UQCRC1","enriched candidate",0.7136781,0.0451219,"Data not available"
"221","PA","MYL6","enriched candidate",0.5961698,0.0457694,"Data not available"
"222","PA","PUF60","no hit",-0.4712617,0.0460849,"Data not available"
"223","PA","RDX","enriched candidate",1.3039637,0.0461561,"Data not available"
"224","PA","GNG12","no hit",0.5021224,0.0462213,"Data not available"
"225","PA","ATP5A1","no hit",0.8481773,0.0485491,"Data not available"
"226","PA","RAP1A","no hit",0.5320556,0.0490914,"Data not available"
"227","PA","AGL","no hit",-1.0040286,0.0494766,"Data not available"
"228","PA","SKP1","no hit",-0.7393452,0.049882,"Data not available"
"229","PA","GLOD4","no hit",-0.8477743,0.0500377,"Data not available"
"230","PA","TXNRD1","no hit",-0.6101066,0.0505713,"Data not available"
"231","PA","RPN2","no hit",0.7968537,0.0507365,"Data not available"
"232","PA","PPP1CA","no hit",0.4903157,0.0512769,"Data not available"
"233","PA","HSPH1","no hit",-0.5318265,0.053184,"Data not available"
"234","PA","SLC25A24","no hit",0.9698108,0.053595,"Data not available"
